"document"	"topic"	"gamma"
"137"	"1018_Три_инвалида.txt"	17	1.03249788830104e-05
"138"	"1018_Три_инвалида.txt"	2	1.03249788828654e-05
"139"	"1018_Три_инвалида.txt"	21	1.03249788828517e-05
"140"	"1018_Три_инвалида.txt"	7	1.03249788828467e-05
"141"	"1018_Три_инвалида.txt"	8	1.0324978882844e-05
"142"	"1018_Три_инвалида.txt"	24	1.03249788828132e-05
"143"	"1018_Три_инвалида.txt"	14	1.03249788828042e-05
"144"	"1018_Три_инвалида.txt"	26	1.03249788827909e-05
"145"	"1018_Три_инвалида.txt"	22	1.03249788827685e-05
"146"	"1018_Три_инвалида.txt"	19	1.03249788827547e-05
"147"	"1018_Три_инвалида.txt"	11	1.0324978882747e-05
"148"	"1018_Три_инвалида.txt"	13	1.03249788827454e-05
"149"	"1018_Три_инвалида.txt"	6	1.03249788827438e-05
"150"	"1018_Три_инвалида.txt"	18	1.03249788827397e-05
"151"	"1018_Три_инвалида.txt"	16	1.03249788827369e-05
"152"	"1018_Три_инвалида.txt"	27	1.03249788827283e-05
"153"	"1018_Три_инвалида.txt"	23	1.03249788827277e-05
"154"	"1018_Три_инвалида.txt"	3	1.0324978882719e-05
"155"	"1018_Три_инвалида.txt"	9	1.03249788827145e-05
"156"	"1018_Три_инвалида.txt"	20	1.03249788827108e-05
"157"	"1018_Три_инвалида.txt"	10	1.03249788827045e-05
"158"	"1018_Три_инвалида.txt"	4	1.03249788826975e-05
"159"	"1018_Три_инвалида.txt"	25	1.03249788826708e-05
"160"	"1018_Три_инвалида.txt"	1	1.03249788826687e-05
"161"	"1018_Три_инвалида.txt"	15	1.03249788826606e-05
"162"	"1018_Три_инвалида.txt"	5	1.03249788826224e-05
"163"	"1026_Красный_сигнал.txt"	5	0.842882796590576
"164"	"1026_Красный_сигнал.txt"	19	0.156403916068281
"165"	"1026_Красный_сигнал.txt"	25	2.85314936458309e-05
"166"	"1026_Красный_сигнал.txt"	17	2.85314936458304e-05
"167"	"1026_Красный_сигнал.txt"	20	2.85314936458243e-05
"168"	"1026_Красный_сигнал.txt"	11	2.85314936458229e-05
"169"	"1026_Красный_сигнал.txt"	16	2.85314936458084e-05
"170"	"1026_Красный_сигнал.txt"	18	2.85314936458049e-05
"171"	"1026_Красный_сигнал.txt"	4	2.85314936458025e-05
"172"	"1026_Красный_сигнал.txt"	27	2.85314936458008e-05
"173"	"1026_Красный_сигнал.txt"	15	2.85314936457987e-05
"174"	"1026_Красный_сигнал.txt"	13	2.85314936457984e-05
"175"	"1026_Красный_сигнал.txt"	26	2.85314936457946e-05
"176"	"1026_Красный_сигнал.txt"	9	2.85314936457924e-05
"177"	"1026_Красный_сигнал.txt"	22	2.85314936457885e-05
"178"	"1026_Красный_сигнал.txt"	24	2.85314936457879e-05
"179"	"1026_Красный_сигнал.txt"	7	2.8531493645781e-05
"180"	"1026_Красный_сигнал.txt"	21	2.85314936457768e-05
"181"	"1026_Красный_сигнал.txt"	14	2.85314936457609e-05
"182"	"1026_Красный_сигнал.txt"	23	2.85314936457535e-05
"183"	"1026_Красный_сигнал.txt"	3	2.85314936457443e-05
"184"	"1026_Красный_сигнал.txt"	12	2.85314936457433e-05
"185"	"1026_Красный_сигнал.txt"	8	2.85314936457212e-05
"186"	"1026_Красный_сигнал.txt"	6	2.85314936456752e-05
"187"	"1026_Красный_сигнал.txt"	1	2.85314936456424e-05
"188"	"1026_Красный_сигнал.txt"	2	2.85314936455094e-05
"189"	"1026_Красный_сигнал.txt"	10	2.85314936454965e-05
"190"	"1027_Королева_-_золотые_пятки.txt"	18	0.999691022211553
"191"	"1027_Королева_-_золотые_пятки.txt"	17	1.18837610942324e-05
"192"	"1027_Королева_-_золотые_пятки.txt"	15	1.18837610942127e-05
"193"	"1027_Королева_-_золотые_пятки.txt"	11	1.18837610941911e-05
"194"	"1027_Королева_-_золотые_пятки.txt"	22	1.18837610941802e-05
"195"	"1027_Королева_-_золотые_пятки.txt"	14	1.18837610941787e-05
"196"	"1027_Королева_-_золотые_пятки.txt"	6	1.18837610941771e-05
"197"	"1027_Королева_-_золотые_пятки.txt"	26	1.18837610941757e-05
"198"	"1027_Королева_-_золотые_пятки.txt"	12	1.18837610941693e-05
"199"	"1027_Королева_-_золотые_пятки.txt"	9	1.18837610941693e-05
"200"	"1027_Королева_-_золотые_пятки.txt"	24	1.18837610941614e-05
"201"	"1027_Королева_-_золотые_пятки.txt"	21	1.18837610941497e-05
"202"	"1027_Королева_-_золотые_пятки.txt"	1	1.18837610941349e-05
"203"	"1027_Королева_-_золотые_пятки.txt"	7	1.1883761094133e-05
"204"	"1027_Королева_-_золотые_пятки.txt"	27	1.18837610941322e-05
"205"	"1027_Королева_-_золотые_пятки.txt"	19	1.18837610941296e-05
"206"	"1027_Королева_-_золотые_пятки.txt"	4	1.18837610941273e-05
"207"	"1027_Королева_-_золотые_пятки.txt"	25	1.18837610941271e-05
"208"	"1027_Королева_-_золотые_пятки.txt"	8	1.18837610940963e-05
"209"	"1027_Королева_-_золотые_пятки.txt"	13	1.18837610940954e-05
"210"	"1027_Королева_-_золотые_пятки.txt"	23	1.18837610940946e-05
"211"	"1027_Королева_-_золотые_пятки.txt"	5	1.18837610940788e-05
"212"	"1027_Королева_-_золотые_пятки.txt"	10	1.1883761094071e-05
"213"	"1027_Королева_-_золотые_пятки.txt"	2	1.18837610940592e-05
"214"	"1027_Королева_-_золотые_пятки.txt"	16	1.18837610940331e-05
"215"	"1027_Королева_-_золотые_пятки.txt"	20	1.1883761094022e-05
"216"	"1027_Королева_-_золотые_пятки.txt"	3	1.18837610940199e-05
"217"	"1076_Пудя.txt"	11	0.777739376994403
"218"	"1076_Пудя.txt"	9	0.20742295838891
"219"	"1076_Пудя.txt"	19	0.014561742620124
"220"	"1076_Пудя.txt"	7	1.1496749856871e-05
"221"	"1076_Пудя.txt"	24	1.1496749856859e-05
"222"	"1076_Пудя.txt"	12	1.14967498568576e-05
"223"	"1076_Пудя.txt"	21	1.14967498568512e-05
"224"	"1076_Пудя.txt"	15	1.14967498568504e-05
"225"	"1076_Пудя.txt"	26	1.14967498568486e-05
"226"	"1076_Пудя.txt"	20	1.14967498568277e-05
"227"	"1076_Пудя.txt"	3	1.14967498568264e-05
"228"	"1076_Пудя.txt"	16	1.14967498568187e-05
"229"	"1076_Пудя.txt"	23	1.14967498568001e-05
"230"	"1076_Пудя.txt"	17	1.14967498567972e-05
"231"	"1076_Пудя.txt"	25	1.14967498567972e-05
"232"	"1076_Пудя.txt"	2	1.14967498567943e-05
"233"	"1076_Пудя.txt"	13	1.14967498567835e-05
"234"	"1076_Пудя.txt"	5	1.14967498567804e-05
"235"	"1076_Пудя.txt"	6	1.14967498567776e-05
"236"	"1076_Пудя.txt"	10	1.14967498567719e-05
"237"	"1076_Пудя.txt"	27	1.14967498567692e-05
"238"	"1076_Пудя.txt"	14	1.1496749856764e-05
"239"	"1076_Пудя.txt"	18	1.14967498567631e-05
"240"	"1076_Пудя.txt"	1	1.149674985675e-05
"241"	"1076_Пудя.txt"	4	1.14967498566765e-05
"242"	"1076_Пудя.txt"	22	1.14967498566582e-05
"243"	"1076_Пудя.txt"	8	1.14967498566539e-05
"244"	"1077_.txt"	23	0.536671105798121
"245"	"1077_.txt"	7	0.462866830302953
"246"	"1077_.txt"	27	1.84825559571675e-05
"247"	"1077_.txt"	11	1.84825559571539e-05
"248"	"1077_.txt"	24	1.84825559571416e-05
"249"	"1077_.txt"	19	1.84825559571392e-05
"250"	"1077_.txt"	14	1.84825559571303e-05
"251"	"1077_.txt"	20	1.84825559571175e-05
"252"	"1077_.txt"	8	1.84825559571118e-05
"253"	"1077_.txt"	17	1.84825559570857e-05
"254"	"1077_.txt"	26	1.84825559570841e-05
"255"	"1077_.txt"	15	1.84825559570694e-05
"256"	"1077_.txt"	22	1.84825559570598e-05
"257"	"1077_.txt"	12	1.84825559570586e-05
"258"	"1077_.txt"	9	1.84825559570538e-05
"259"	"1077_.txt"	4	1.84825559570223e-05
"260"	"1077_.txt"	1	1.84825559570113e-05
"261"	"1077_.txt"	3	1.84825559570085e-05
"262"	"1077_.txt"	2	1.84825559569744e-05
"263"	"1077_.txt"	5	1.84825559569694e-05
"264"	"1077_.txt"	6	1.8482555956967e-05
"265"	"1077_.txt"	21	1.84825559569639e-05
"266"	"1077_.txt"	13	1.84825559569562e-05
"267"	"1077_.txt"	16	1.84825559569554e-05
"268"	"1077_.txt"	10	1.84825559569473e-05
"269"	"1077_.txt"	25	1.84825559569206e-05
"270"	"1077_.txt"	18	1.84825559569165e-05
"271"	"1078_Тихон_Матвеич.txt"	4	0.99970400555569
"272"	"1078_Тихон_Матвеич.txt"	26	1.13844017043663e-05
"273"	"1078_Тихон_Матвеич.txt"	22	1.13844017043207e-05
"274"	"1078_Тихон_Матвеич.txt"	21	1.13844017043049e-05
"275"	"1078_Тихон_Матвеич.txt"	17	1.13844017042895e-05
"276"	"1078_Тихон_Матвеич.txt"	14	1.13844017042573e-05
"277"	"1078_Тихон_Матвеич.txt"	13	1.13844017042554e-05
"278"	"1078_Тихон_Матвеич.txt"	2	1.13844017042521e-05
