"document"	"topic"	"gamma"
"155"	"1076_Пудя.txt"	11	0.999769594931993
"156"	"1076_Пудя.txt"	15	1.09716699052047e-05
"157"	"1076_Пудя.txt"	10	1.0971669905183e-05
"158"	"1076_Пудя.txt"	2	1.09716699051524e-05
"159"	"1076_Пудя.txt"	12	1.097166990515e-05
"160"	"1076_Пудя.txt"	5	1.09716699051465e-05
"161"	"1076_Пудя.txt"	22	1.09716699051349e-05
"162"	"1076_Пудя.txt"	14	1.097166990513e-05
"163"	"1076_Пудя.txt"	21	1.09716699051251e-05
"164"	"1076_Пудя.txt"	19	1.0971669905124e-05
"165"	"1076_Пудя.txt"	6	1.09716699051238e-05
"166"	"1076_Пудя.txt"	9	1.09716699051225e-05
"167"	"1076_Пудя.txt"	13	1.09716699051196e-05
"168"	"1076_Пудя.txt"	16	1.09716699051153e-05
"169"	"1076_Пудя.txt"	7	1.09716699051006e-05
"170"	"1076_Пудя.txt"	4	1.09716699050972e-05
"171"	"1076_Пудя.txt"	20	1.09716699050945e-05
"172"	"1076_Пудя.txt"	17	1.09716699050944e-05
"173"	"1076_Пудя.txt"	8	1.09716699050646e-05
"174"	"1076_Пудя.txt"	18	1.09716699050442e-05
"175"	"1076_Пудя.txt"	1	1.09716699050155e-05
"176"	"1076_Пудя.txt"	3	1.097166990492e-05
"177"	"1077_.txt"	16	0.605351116067192
"178"	"1077_.txt"	6	0.394296086804126
"179"	"1077_.txt"	8	1.76398564342197e-05
"180"	"1077_.txt"	17	1.76398564342005e-05
"181"	"1077_.txt"	11	1.76398564341944e-05
"182"	"1077_.txt"	7	1.76398564341519e-05
"183"	"1077_.txt"	19	1.76398564341512e-05
"184"	"1077_.txt"	2	1.76398564341507e-05
"185"	"1077_.txt"	9	1.76398564341478e-05
"186"	"1077_.txt"	21	1.76398564341449e-05
"187"	"1077_.txt"	22	1.76398564341248e-05
"188"	"1077_.txt"	4	1.76398564341148e-05
"189"	"1077_.txt"	1	1.76398564341148e-05
"190"	"1077_.txt"	14	1.76398564341121e-05
"191"	"1077_.txt"	15	1.76398564341034e-05
"192"	"1077_.txt"	13	1.76398564341003e-05
"193"	"1077_.txt"	5	1.76398564340974e-05
"194"	"1077_.txt"	20	1.76398564340887e-05
"195"	"1077_.txt"	10	1.76398564340689e-05
"196"	"1077_.txt"	12	1.76398564340633e-05
"197"	"1077_.txt"	3	1.76398564340182e-05
"198"	"1077_.txt"	18	1.76398564340121e-05
"199"	"1078_Тихон_Матвеич.txt"	2	0.999773648018773
"200"	"1078_Тихон_Матвеич.txt"	6	1.07786657728855e-05
"201"	"1078_Тихон_Матвеич.txt"	11	1.07786657728104e-05
"202"	"1078_Тихон_Матвеич.txt"	14	1.07786657727962e-05
"203"	"1078_Тихон_Матвеич.txt"	22	1.07786657727802e-05
"204"	"1078_Тихон_Матвеич.txt"	8	1.07786657727764e-05
"205"	"1078_Тихон_Матвеич.txt"	15	1.0778665772762e-05
"206"	"1078_Тихон_Матвеич.txt"	19	1.07786657727601e-05
"207"	"1078_Тихон_Матвеич.txt"	12	1.07786657727533e-05
"208"	"1078_Тихон_Матвеич.txt"	21	1.07786657727485e-05
"209"	"1078_Тихон_Матвеич.txt"	9	1.07786657727437e-05
"210"	"1078_Тихон_Матвеич.txt"	16	1.07786657727342e-05
"211"	"1078_Тихон_Матвеич.txt"	4	1.07786657727295e-05
"212"	"1078_Тихон_Матвеич.txt"	18	1.07786657727218e-05
"213"	"1078_Тихон_Матвеич.txt"	10	1.07786657727196e-05
"214"	"1078_Тихон_Матвеич.txt"	13	1.07786657727155e-05
"215"	"1078_Тихон_Матвеич.txt"	1	1.07786657726989e-05
"216"	"1078_Тихон_Матвеич.txt"	7	1.07786657726975e-05
"217"	"1078_Тихон_Матвеич.txt"	17	1.07786657726928e-05
"218"	"1078_Тихон_Матвеич.txt"	3	1.0778665772685e-05
"219"	"1078_Тихон_Матвеич.txt"	5	1.0778665772629e-05
"220"	"1078_Тихон_Матвеич.txt"	20	1.07786657726098e-05
"221"	"1084_Аист_Лелька.txt"	21	0.999681956279514
"222"	"1084_Аист_Лелька.txt"	1	1.5144939070902e-05
"223"	"1084_Аист_Лелька.txt"	6	1.514493907082e-05
"224"	"1084_Аист_Лелька.txt"	2	1.51449390708113e-05
"225"	"1084_Аист_Лелька.txt"	5	1.51449390708063e-05
"226"	"1084_Аист_Лелька.txt"	7	1.51449390707975e-05
"227"	"1084_Аист_Лелька.txt"	12	1.51449390707963e-05
"228"	"1084_Аист_Лелька.txt"	8	1.51449390707947e-05
"229"	"1084_Аист_Лелька.txt"	11	1.51449390707883e-05
"230"	"1084_Аист_Лелька.txt"	9	1.51449390707857e-05
"231"	"1084_Аист_Лелька.txt"	14	1.51449390707798e-05
"232"	"1084_Аист_Лелька.txt"	17	1.51449390707641e-05
"233"	"1084_Аист_Лелька.txt"	15	1.51449390707583e-05
"234"	"1084_Аист_Лелька.txt"	16	1.51449390707532e-05
"235"	"1084_Аист_Лелька.txt"	13	1.51449390707527e-05
"236"	"1084_Аист_Лелька.txt"	19	1.51449390707469e-05
"237"	"1084_Аист_Лелька.txt"	10	1.51449390707431e-05
"238"	"1084_Аист_Лелька.txt"	18	1.51449390707227e-05
"239"	"1084_Аист_Лелька.txt"	4	1.51449390707085e-05
"240"	"1084_Аист_Лелька.txt"	20	1.5144939070707e-05
"241"	"1084_Аист_Лелька.txt"	22	1.51449390706702e-05
"242"	"1084_Аист_Лелька.txt"	3	1.51449390706517e-05
"243"	"1085_Гришка_и_Мишка.txt"	18	0.989714519494561
"244"	"1085_Гришка_и_Мишка.txt"	11	0.00995686042824187
"245"	"1085_Гришка_и_Мишка.txt"	8	1.643100385998e-05
"246"	"1085_Гришка_и_Мишка.txt"	4	1.64310038599483e-05
